join_index,sampling_index,origin,destination,area,ttpTravelTime
69,69,"-27.6400483 , 152.8721298","-27.450573400000003 , 153.06176430000002",urban-urban,2070
70,70,"-27.7052745 , 153.16808070000002","-27.500539500000002 , 152.9629462",urban-urban,2070
71,71,"-27.526043 , 152.9743469","-27.525659400000002 , 153.2555467",urban-urban,2070
72,72,"-27.1461644 , 152.9915664","-27.4371048 , 152.99105730000002",urban-urban,2070
73,73,"-27.3585397 , 153.0458342","-27.5564517 , 153.2441918",urban-urban,2070
74,74,"-27.517812000000003 , 152.9582928","-27.723062400000003 , 153.16399610000002",urban-urban,2070
75,75,"-27.603785300000002 , 151.9468885","-27.514853700000003 , 152.03636730000002",urban-rural,1798
76,76,"-27.068553 , 152.915494","-26.8448931 , 152.9156685",rural-urban,1790
77,77,"-22.8300535 , 148.4633097","-22.8304978 , 148.701288",rural-rural,1811
78,78,"-28.109959500000002 , 153.3680591","-28.226972600000003 , 153.36772290000002",rural-urban,1817
79,79,"-27.9151692 , 153.30170710000002","-27.9152816 , 153.1804362",urban-urban,1783
80,80,"-27.5263083 , 153.0052592","-27.701753 , 152.8296864",urban-urban,1781
81,81,"-24.879934900000002 , 152.30474610000002","-24.7442354 , 152.30523780000001",urban-rural,1751
82,82,"-27.544223300000002 , 151.9245469","-27.3949748 , 152.0733203",urban-rural,1853
83,83,"-17.0012978 , 145.73983710000002","-17.1993671 , 145.73941100000002",urban-rural,1743
84,84,"-24.877451200000003 , 152.3743661","-25.0750524 , 152.1764095",urban-rural,1858
85,85,"-21.1756005 , 149.16832820000002","-21.2991308 , 149.2917236",urban-urban,1738
86,86,"-26.622009700000003 , 153.04216910000002","-26.383087000000003 , 153.0419675",urban-urban,1868
87,87,"-27.6896066 , 152.9694653","-27.8520159 , 152.9700007",rural-urban,1872
88,88,"-27.735267500000003 , 152.9485536","-27.5810889 , 152.94850480000002",urban-urban,1876
89,89,"-26.496255700000003 , 152.90757340000002","-26.645335900000003 , 152.90808900000002",urban-urban,1879
90,90,"-27.586301300000002 , 151.91725680000002","-27.4267092 , 152.0769572",urban-rural,1881
91,91,"-21.2777679 , 149.05041920000002","-21.2774609 , 149.27116850000002",urban-urban,1881
92,92,"-16.987399 , 145.7364803","-16.8525485 , 145.60110590000002",urban-rural,1886
93,93,"-23.3679482 , 150.4921611","-23.3358169 , 150.4597759",urban-rural,1902
94,94,"-27.255723900000003 , 152.9719158","-27.391030400000002 , 153.10685220000002",urban-urban,1696
95,95,"-19.2473773 , 146.70121310000002","-19.4377868 , 146.7015177",urban-rural,1904
96,96,"-27.4547704 , 151.7160451","-27.4551887 , 151.9836933",rural-urban,1905
97,97,"-26.737109500000003 , 153.1190051","-26.737609300000003 , 152.89959190000002",urban-rural,1910
98,98,"-27.432926300000002 , 151.6978315","-27.4326782 , 151.99109230000002",rural-urban,1939
99,99,"-26.4107938 , 153.09346250000002","-26.5706038 , 152.9341775",urban-rural,1939
100,100,"-27.6173934 , 151.78399910000002","-27.4292434 , 151.9726339",rural-rural,1940
101,101,"-26.5254152 , 151.8580236","-26.525915100000002 , 151.6988674",urban-rural,1658
102,102,"-27.508600400000002 , 152.9667326","-27.6943705 , 152.7805954",rural-rural,1656
103,103,"-27.4842274 , 152.9930003","-27.677833000000003 , 152.7991744",urban-urban,1656
104,104,"-16.9044414 , 145.7607209","-16.952747600000002 , 145.80899770000002",urban-rural,1944
105,105,"-26.587276300000003 , 148.82775840000002","-26.5878075 , 149.20844960000002",urban-rural,1656
106,106,"-26.729060200000003 , 153.1162137","-26.9020344 , 152.94363570000002",urban-urban,1959
107,107,"-26.479489800000003 , 152.8747336","-26.4791029 , 153.0945404",rural-urban,1639
108,108,"-28.069548200000003 , 153.32102410000002","-28.1713744 , 153.42260900000002",urban-rural,1634
109,109,"-23.596240100000003 , 150.4235607","-23.596222100000002 , 150.5931509",urban-rural,1632
110,110,"-23.9908363 , 151.3023779","-23.8708375 , 151.18211480000002",urban-rural,1969
111,111,"-26.729915400000003 , 153.0539306","-26.7294188 , 152.9064492",urban-rural,1627
112,112,"-23.3778936 , 150.49490060000002","-23.1963353 , 150.6766815",urban-rural,1978
113,113,"-28.0637784 , 153.4144364","-28.2077305 , 153.4143321",urban-rural,1622
114,114,"-22.419875700000002 , 149.2100301","-22.420398900000002 , 149.0171612",rural-urban,1979
115,115,"-26.3872466 , 152.9284666","-26.631944200000003 , 152.9287904",urban-rural,1981
116,116,"-27.5793889 , 151.71758640000002","-27.4050897 , 151.8922733",rural-rural,1982
117,117,"-24.8662172 , 152.34565510000002","-24.9788634 , 152.4585887",urban-rural,1618
118,118,"-23.2646531 , 150.5029584","-23.011114600000003 , 150.5033773",urban-urban,1985
119,119,"-16.8070895 , 145.57397600000002","-16.8066146 , 145.7212301",rural-urban,1614
120,120,"-27.980505400000002 , 153.3685029","-28.1284527 , 153.22109160000002",urban-rural,1989
121,121,"-26.3982624 , 153.0621045","-26.689988800000002 , 153.06245810000001",urban-urban,1994
122,122,"-27.589778600000002 , 152.7297188","-27.6865686 , 152.82652960000001",urban-rural,2000
123,123,"-27.6610063 , 152.88218070000002","-27.803913100000003 , 153.0254336",urban-rural,2000
124,124,"-26.3005703 , 152.72759630000002","-26.179559 , 152.6066907",rural-urban,2005
125,125,"-21.159936100000003 , 149.160764","-20.9597765 , 148.9609596",urban-urban,2006
126,126,"-22.8168425 , 149.8872873","-22.680876100000003 , 149.8871182",urban-urban,1589
127,127,"-26.7205675 , 153.0414962","-26.868660000000002 , 152.8929104",urban-urban,2012
128,128,"-26.439715800000002 , 152.8958447","-26.3443061 , 152.9916602",urban-urban,1588
129,129,"-20.1153008 , 148.1652895","-20.115527800000002 , 148.26070860000002",rural-rural,1586
130,130,"-27.699499900000003 , 153.0294749","-27.8451483 , 153.175585",urban-rural,2022
131,131,"-24.834000800000002 , 152.38540790000002","-24.834200300000003 , 152.2286062",urban-rural,1577
132,132,"-26.434244900000003 , 152.8693163","-26.3092633 , 152.7446499",urban-rural,2023
133,133,"-19.390126600000002 , 146.9276231","-19.3900699 , 147.1112725",urban-urban,1571
134,134,"-27.5427861 , 151.971836","-27.366502500000003 , 152.1479894",urban-urban,2032
135,135,"-21.3612596 , 149.2729945","-21.1611473 , 149.0730447",rural-urban,2032
136,136,"-21.1776585 , 149.1801555","-21.4658412 , 149.1798489",urban-urban,2035
137,137,"-27.851425900000002 , 153.2889639","-27.9410524 , 153.19976210000002",urban-rural,2042
138,138,"-21.039144800000003 , 149.1759053","-21.0389373 , 148.9032323",urban-urban,2042
139,139,"-27.6047756 , 151.9388279","-27.466905200000003 , 152.0770669",urban-rural,1557
140,140,"-23.368481600000003 , 150.5003696","-23.2542449 , 150.3864786",urban-rural,1556
141,141,"-21.123393800000002 , 149.1540813","-21.1228506 , 148.8706416",urban-rural,2051
142,142,"-27.623414200000003 , 152.795072","-27.824083 , 152.59436150000002",urban-rural,1548
143,143,"-21.1861955 , 149.0271074","-21.4173611 , 149.25786000000002",urban-urban,2057
144,144,"-27.483114500000003 , 151.837433","-27.3907555 , 151.9301797",urban-rural,1541
145,145,"-23.753054300000002 , 149.2357268","-23.5820863 , 149.0650529",urban-urban,2060
146,146,"-27.779849600000002 , 153.268269","-27.915981700000003 , 153.1320059",urban-rural,2063
147,147,"-26.8587983 , 152.9491771","-27.185909700000003 , 152.9492692",urban-urban,2063
148,148,"-27.8228891 , 153.09548270000002","-27.590456900000003 , 153.09559430000002",urban-urban,2065
149,149,"-19.315256700000003 , 146.821626","-19.314970600000002 , 146.55175920000002",urban-rural,1530
150,0,"-27.596651 , 152.815804","-27.331881600000003 , 153.08139260000002",urban-urban,2704
151,1,"-27.5914842 , 152.821018","-27.3326166 , 153.079319",urban-urban,2715
