join_index,sampling_index,origin,destination,area,journeyClass,ttpTravelTime,metadata
61,61,"53.6907937 , -113.2184936","53.785003 , -113.12420440000001",urban-urban,urban,1240,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
63,63,"53.6229676 , -113.51410240000001","53.6233732 , -113.41482590000001",urban-urban,urban,1240,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
64,64,"53.467875600000006 , -113.4962825","53.4678471 , -113.60144600000001",urban-urban,urban,1240,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
67,67,"53.5421665 , -113.56218940000001","53.493817 , -113.61101660000001",urban-urban,urban,1157,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
68,68,"51.078289600000005 , -114.18557290000001","51.0785331 , -114.08551000000001",urban-urban,urban,1243,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
69,69,"53.503358000000006 , -113.5398179","53.455109300000004 , -113.53993220000001",urban-urban,urban,1156,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
70,70,"50.8794776 , -114.02929920000001","50.986847600000004 , -114.0294142",urban-urban,urban,1156,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
78,78,"51.188416800000006 , -114.1654733","51.1335039 , -114.11096880000001",urban-urban,urban,1151,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
79,79,"53.5323732 , -113.70883450000001","53.532613100000006 , -113.5991221",urban-urban,urban,1151,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
80,80,"53.446096100000005 , -113.4904214","53.4117175 , -113.52504640000001",urban-urban,urban,1150,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
82,82,"50.9795092 , -114.01558560000001","51.139926800000005 , -114.0151455",urban-urban,urban,1150,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
87,87,"53.457806500000004 , -113.41106830000001","53.5052521 , -113.36359630000001",urban-urban,urban,1145,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
89,89,"53.41443030000001 , -113.4414285","53.453334100000006 , -113.4799612",urban-urban,urban,1257,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
94,94,"51.052761600000004 , -113.92804120000001","51.0523152 , -114.04569860000001",urban-urban,urban,1261,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
95,95,"53.4998142 , -113.46807390000001","53.50005590000001 , -113.32082670000001",urban-urban,urban,1261,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
97,97,"53.543851200000006 , -113.40830890000001","53.55625980000001 , -113.3961989",urban-urban,urban,1262,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
98,98,"50.8952851 , -113.97295650000001","50.9895294 , -113.9727081",urban-urban,urban,1262,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
99,99,"53.550177700000006 , -113.61788120000001","53.622157900000005 , -113.6174548",urban-urban,urban,1262,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
100,100,"53.4307268 , -113.40521120000001","53.431056500000004 , -113.4571537",urban-urban,urban,1137,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
106,106,"51.0533312 , -115.3187233","51.0529396 , -115.419036",urban-urban,urban,1132,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
107,107,"53.500033200000004 , -113.51436410000001","53.500506200000004 , -113.3938488",urban-urban,urban,1268,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
111,111,"50.99532060000001 , -114.1171824","50.830322100000004 , -113.95210340000001",urban-urban,urban,1269,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
112,112,"53.4708198 , -113.4131461","53.526741 , -113.41324610000001",urban-urban,urban,1130,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
113,113,"50.942250200000004 , -114.0074082","50.870486 , -114.0078122",urban-urban,urban,1130,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
116,116,"53.4832897 , -113.4989139","53.483065200000006 , -113.26937050000001",urban-urban,urban,1273,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
119,119,"51.164040400000005 , -114.1630688","51.0860611 , -114.16299350000001",urban-urban,urban,1126,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
125,125,"51.0377689 , -113.97871780000001","51.136082200000004 , -114.07730980000001",urban-urban,urban,1280,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
127,127,"51.0366822 , -114.02297010000001","51.1032274 , -114.08964420000001",urban-urban,urban,1281,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
130,130,"51.063819800000005 , -113.9295244","51.0639076 , -114.0843102",urban-urban,urban,1282,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
131,131,"53.4680576 , -113.37907650000001","53.5162497 , -113.37890920000001",urban-urban,urban,1118,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
134,134,"51.089767 , -114.23625860000001","51.014192900000005 , -114.1606967",rural-urban,urban,1115,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""62ce72d45380414aabe46304bed788b2""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""050b6083fcee4d8c90b1e2d8f9263c71""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""fefd5c91ffd9482a8fb31ad02298b97b""}}"
