join_index,sampling_index,origin,destination,area,ttpTravelTime,metadata
43,43,"54.6689195 , 25.3139851","54.8135844 , 25.313845800000003",urban-urban,1840,"{""sample_routes"":{""date"":""2026-05-05"",""run_id"":""baa012b5e115464e830b7dbc51c37041""},""join_samples"":{""date"":""2026-05-05"",""run_id"":""d22fce2a2d414e9783509c756ee5048c""},""upload_data"":{""date"":""2026-05-05"",""run_id"":""5d16df3920ae40909a717fe0675d3c3d""}}"
44,44,"54.6889442 , 25.397618400000002","54.8088312 , 25.2783072",urban-urban,1759,"{""sample_routes"":{""date"":""2026-05-05"",""run_id"":""baa012b5e115464e830b7dbc51c37041""},""join_samples"":{""date"":""2026-05-05"",""run_id"":""d22fce2a2d414e9783509c756ee5048c""},""upload_data"":{""date"":""2026-05-05"",""run_id"":""5d16df3920ae40909a717fe0675d3c3d""}}"
45,45,"54.9364477 , 23.7813415","54.936835300000006 , 24.130977",urban-urban,1759,"{""sample_routes"":{""date"":""2026-05-05"",""run_id"":""baa012b5e115464e830b7dbc51c37041""},""join_samples"":{""date"":""2026-05-05"",""run_id"":""d22fce2a2d414e9783509c756ee5048c""},""upload_data"":{""date"":""2026-05-05"",""run_id"":""5d16df3920ae40909a717fe0675d3c3d""}}"
46,46,"54.89720620000001 , 24.0045301","54.7736305 , 24.127929400000003",urban-urban,1757,"{""sample_routes"":{""date"":""2026-05-05"",""run_id"":""baa012b5e115464e830b7dbc51c37041""},""join_samples"":{""date"":""2026-05-05"",""run_id"":""d22fce2a2d414e9783509c756ee5048c""},""upload_data"":{""date"":""2026-05-05"",""run_id"":""5d16df3920ae40909a717fe0675d3c3d""}}"
47,47,"54.7758267 , 25.3716623","54.6566057 , 25.251874",urban-urban,1755,"{""sample_routes"":{""date"":""2026-05-05"",""run_id"":""baa012b5e115464e830b7dbc51c37041""},""join_samples"":{""date"":""2026-05-05"",""run_id"":""d22fce2a2d414e9783509c756ee5048c""},""upload_data"":{""date"":""2026-05-05"",""run_id"":""5d16df3920ae40909a717fe0675d3c3d""}}"
48,48,"54.5787391 , 25.264593100000003","54.725224600000004 , 25.411025600000002",urban-urban,1847,"{""sample_routes"":{""date"":""2026-05-05"",""run_id"":""baa012b5e115464e830b7dbc51c37041""},""join_samples"":{""date"":""2026-05-05"",""run_id"":""d22fce2a2d414e9783509c756ee5048c""},""upload_data"":{""date"":""2026-05-05"",""run_id"":""5d16df3920ae40909a717fe0675d3c3d""}}"
49,49,"54.7080179 , 25.411260400000003","54.707940400000005 , 25.1429668",urban-urban,1753,"{""sample_routes"":{""date"":""2026-05-05"",""run_id"":""baa012b5e115464e830b7dbc51c37041""},""join_samples"":{""date"":""2026-05-05"",""run_id"":""d22fce2a2d414e9783509c756ee5048c""},""upload_data"":{""date"":""2026-05-05"",""run_id"":""5d16df3920ae40909a717fe0675d3c3d""}}"
50,50,"55.7087197 , 21.1330604","55.7092138 , 21.4789734",urban-rural,1752,"{""sample_routes"":{""date"":""2026-05-05"",""run_id"":""baa012b5e115464e830b7dbc51c37041""},""join_samples"":{""date"":""2026-05-05"",""run_id"":""d22fce2a2d414e9783509c756ee5048c""},""upload_data"":{""date"":""2026-05-05"",""run_id"":""5d16df3920ae40909a717fe0675d3c3d""}}"
51,51,"54.6798866 , 25.2785371","54.87285730000001 , 25.2792065",urban-urban,1752,"{""sample_routes"":{""date"":""2026-05-05"",""run_id"":""baa012b5e115464e830b7dbc51c37041""},""join_samples"":{""date"":""2026-05-05"",""run_id"":""d22fce2a2d414e9783509c756ee5048c""},""upload_data"":{""date"":""2026-05-05"",""run_id"":""5d16df3920ae40909a717fe0675d3c3d""}}"
52,52,"54.7535473 , 25.3774148","54.5991128 , 25.3768676",urban-urban,1849,"{""sample_routes"":{""date"":""2026-05-05"",""run_id"":""baa012b5e115464e830b7dbc51c37041""},""join_samples"":{""date"":""2026-05-05"",""run_id"":""d22fce2a2d414e9783509c756ee5048c""},""upload_data"":{""date"":""2026-05-05"",""run_id"":""5d16df3920ae40909a717fe0675d3c3d""}}"
53,53,"54.596325400000005 , 25.35386","54.739268700000004 , 25.3538208",urban-urban,1751,"{""sample_routes"":{""date"":""2026-05-05"",""run_id"":""baa012b5e115464e830b7dbc51c37041""},""join_samples"":{""date"":""2026-05-05"",""run_id"":""d22fce2a2d414e9783509c756ee5048c""},""upload_data"":{""date"":""2026-05-05"",""run_id"":""5d16df3920ae40909a717fe0675d3c3d""}}"
