join_index,sampling_index,origin,destination,area,ttpTravelTime
151,151,"47.0209861 , 15.4104641","47.176047000000004 , 15.410477900000002",urban-rural,1888
152,152,"47.0559967 , 15.475226600000001","47.0561957 , 15.285295000000001",urban-urban,1712
153,153,"47.0523595 , 15.481128900000002","47.143713700000006 , 15.572298400000001",urban-urban,1711
154,154,"47.0974073 , 15.443820700000002","46.995484000000005 , 15.443691900000001",urban-rural,1709
155,155,"47.1583278 , 15.5351776","47.0610483 , 15.4380114",urban-urban,1708
156,156,"48.2178145 , 16.4482641","48.2173583 , 16.237674900000002",urban-urban,1893
157,157,"48.13894680000001 , 16.4338461","48.2317954 , 16.341417200000002",urban-urban,1705
158,158,"48.2186321 , 16.4152892","48.2189732 , 16.2562076",urban-urban,1705
159,159,"47.8508658 , 13.1062308","47.7513591 , 13.006781700000001",urban-urban,1705
160,160,"47.340253100000005 , 15.153119100000001","47.4303572 , 15.0628325",urban-urban,1705
161,161,"48.1683305 , 16.2803878","48.255408800000005 , 16.3679493",urban-urban,1703
162,162,"47.438903 , 12.779965","47.5828439 , 12.635487000000001",urban-rural,1897
163,163,"47.1087774 , 15.510232400000001","46.980690100000004 , 15.5099326",urban-rural,1898
164,164,"48.249197800000005 , 16.349684","48.152831600000006 , 16.2536411",urban-urban,1898
165,165,"48.3108851 , 16.3294961","48.310442200000004 , 16.4993613",urban-urban,1701
166,166,"48.251055400000006 , 16.3716931","48.25053440000001 , 16.193433000000002",urban-urban,1900
167,167,"47.8727497 , 13.119607","47.756021200000006 , 13.119118400000001",urban-rural,1900
168,168,"48.1526026 , 16.181026900000003","48.152307500000006 , 16.3498689",urban-rural,1699
169,169,"48.343879 , 16.477508800000003","48.194428200000004 , 16.3283123",rural-rural,1901
170,170,"47.796083200000005 , 13.127941100000001","47.6689724 , 13.1276828",rural-rural,1698
171,171,"48.307976000000004 , 16.3108453","48.1707839 , 16.3110168",urban-urban,1902
172,172,"48.2602947 , 16.288597600000003","48.1833674 , 16.3651844",urban-urban,1697
173,173,"47.041417800000005 , 15.466328700000002","47.1464343 , 15.4658662",urban-urban,1697
174,174,"48.1793065 , 16.3479201","48.1791799 , 16.104556000000002",urban-urban,1903
175,175,"47.5624747 , 9.764755800000001","47.459893400000006 , 9.662321700000001",urban-urban,1695
176,176,"47.579156000000005 , 9.795680800000001","47.4597417 , 9.6768888",rural-urban,1906
177,177,"48.197597200000004 , 16.2806179","48.0621632 , 16.2800213",urban-urban,1694
178,178,"47.081548500000004 , 15.5495914","47.082208800000004 , 15.341441600000001",rural-rural,1907
179,179,"47.115859500000006 , 15.424357400000002","46.9944914 , 15.423924500000002",urban-rural,1692
180,180,"48.2015666 , 16.432647900000003","48.201949000000006 , 16.242987",urban-urban,1692
181,181,"48.207759800000005 , 16.2270185","48.207587100000005 , 16.4057587",urban-urban,1910
182,182,"47.208804400000005 , 15.5169563","47.1054824 , 15.5173628",rural-urban,1690
183,183,"48.1661213 , 16.368240800000002","48.2492858 , 16.2855034",urban-urban,1689
184,184,"48.1230642 , 16.3207555","48.2474861 , 16.3209932",urban-urban,1913
